Source,Target,Type,Id,Label,Weight,Kind,Interval
antigone,ismene,Undirected,antigone|ismene,,2,co-occurrence,
antigone,phylax,Undirected,antigone|phylax,,1,co-occurrence,
antigone,choros,Undirected,antigone|choros,,3,co-occurrence,
antigone,kreon,Undirected,antigone|kreon,,2,co-occurrence,
ismene,phylax,Undirected,ismene|phylax,,1,co-occurrence,
ismene,choros,Undirected,ismene|choros,,1,co-occurrence,
ismene,kreon,Undirected,ismene|kreon,,1,co-occurrence,
choros,kreon,Undirected,choros|kreon,,6,co-occurrence,
choros,phylax,Undirected,choros|phylax,,2,co-occurrence,
choros,haimon,Undirected,choros|haimon,,1,co-occurrence,
choros,teiresias,Undirected,choros|teiresias,,1,co-occurrence,
choros,angelos,Undirected,choros|angelos,,1,co-occurrence,
choros,eurydike,Undirected,choros|eurydike,,1,co-occurrence,
choros,exangelos,Undirected,choros|exangelos,,1,co-occurrence,
kreon,phylax,Undirected,kreon|phylax,,2,co-occurrence,
kreon,haimon,Undirected,kreon|haimon,,1,co-occurrence,
kreon,teiresias,Undirected,kreon|teiresias,,1,co-occurrence,
kreon,exangelos,Undirected,kreon|exangelos,,1,co-occurrence,
angelos,eurydike,Undirected,angelos|eurydike,,1,co-occurrence,
antigone,kreon,Undirected,poll_antigone_kreon,,1,pollution,"<[33.4,100]>"
kreon,phylax,Undirected,poll_kreon_phylax,,1,pollution,"<[16.7,100]>"
kreon,haimon,Undirected,poll_kreon_haimon,,1,pollution,"<[50.1,100]>"
kreon,eurydike,Undirected,poll_kreon_eurydike,,1,pollution,"<[83.4,100]>"
antigone,ismene,Undirected,poll_antigone_ismene,,1,pollution,"<[33.4,100]>"
antigone,haimon,Undirected,poll_antigone_haimon,,1,pollution,"<[50.1,83.3]>"
antigone,choros,Undirected,poll_antigone_choros,,1,pollution,"<[66.7,100]>"
kreon,choros,Undirected,poll_kreon_choros,,1,pollution,"<[66.7,100]>"
angelos,choros,Undirected,poll_angelos_choros,,1,pollution,"<[83.4,100]>"
